exercise_id,exercise_name,muscle_groups,description,image_path
0,Приседания со штангой,LEGS,"Встаньте прямо, носки и колени разверните в стороны, а ноги широко расставьте. Начните медленно опускаться, сгибая колени и сохраняя спину прямой. Опуститесь вниз до тех пор, пока бедра не будут параллельны полу. Затем сделайте выдох и поднимитесь обратно в исходное положение.",null
1,Разгибания ног в тренажёре,LEGS,"Расслабьте ступни и слегка поднимите голени (чуть разогните ноги в коленях) так, чтобы груз поднялся с опоры, а голени приняли вертикальное положение. Это и есть исходная позиция. Сделайте глубокий вдох, задержите дыхание и полностью выпрямите ноги. Выдохните.",null
2,Сгибания ног в тренажёре,LEGS,"Ролик должен располагаться над пятками, в области ахиллова сухожилия или чуть выше. Если он находится на середине голени, отрегулируйте тренажёр. Возьмитесь за рукоятки, напрягите пресс и прижмите тело к подушкам, чтобы обеспечить стабильность корпуса.",null
3,Жим штанги лёжа на горизонтальной скамье,CHEST,"1.	Отведите лопатки назад, грудь расправьте вперед.
2.	Возьмите штангу хватом сверху, положив большие пальцы на внешнюю сторону сжатого кулака. Ваши руки должны быть немного шире, чем ширина плеч, а угол между плечами быть около 45 градусов по отношению к телу.
3.	Снимите штангу со стойки, зафиксировав локти. Здесь очень важно не начать выполнять упражнение сразу, с неустойчивого положения.
4.	Вдохните, опуская штангу к груди, до линии сосков или чуть ниже. Следите за тем, чтобы лопатки были сведены.
5.	Выдохните, нажимая на гриф над грудью, выпрямляйте руки. На этом этапе важно не отрывать голову от скамьи.
6.	Не смотрите на стойку, смотрите перед собой.
7.	Когда штанга окажется перед глазами, зафиксируйте ее в этой точке на мгновение. Это будет исходным положением для следующего повтора.",null
4,Разведение гантелей лёжа на наклонной скамье,CHEST,"Начинайте разводить руки в стороны, слегка согнув их в локтях. Разводите руки примерно до параллели с полом. На секунду зафиксируйтесь в этом положении, а затем напряжением грудных мышц вновь сведите руки с гантелями перед собой.",null
5,Становая тяга,BACK,"Медленно начинайте тягу, постепенно разгибая колени и удерживая гриф штанги ближе к ногам, плечи должны располагаться над штангой, при завершении подъема подайте бедра вперед и разверните плечи. Дотяг должен производиться за счет тазобедренного сустава, а не поясницы.",null
6,Гиперэкстензия в тренажёре,BACK,"Расположите бедра таким образом, чтобы тазовые кости оставались над опорными подушками, это позволит вам двигаться с полной амплитудой.
Наклоните корпус вниз и держите руки перед грудью.
На вдохе поднимите корпус вверх, сокращая ягодичные мышцы.
На выдохе вернитесь в исходное положение.",null
7,Подъем штанги на бицепс,BICEPS,"Сделайте глубокий вдох, задержите дыхание и, сгибая руки в локтях, поднимите штангу до уровня верха груди. Во время подъема штанги не двигайте локтями, держите их по бокам туловища и не сгибайте руки в запястьях. Как только кисти окажутся на уровне верха груди, сделайте паузу, выдохните и еще сильнее напрягите бицепсы.",null
8,Французский жим лёжа со штангой,TRICEPS,"Очень важно зафиксировать локти при выполнении упражнения. Они будут раздвигаться, но вы должны держать их направленными вверх.
Во время повторения выполняйте движение медленно, контролируйте вес штанги на всей траектории.
Не выпрямляйте руки в верхней точке, не «замыкайте» локти.",null
9,Жим штанги вверх сидя,DELTS,"Как только вы возьмете штангу с правильной шириной хвата, поднимите штангу над головой, зафиксировав руки. ...
На вдохе медленно опустите штангу к ключице.
На выдохе поднимите штангу обратно в исходное положение.
Повторите необходимое количество повторений",null
